variant,event,seed_count,evaluation_count,macro_f1_mean,macro_f1_std,macro_f1_ci95_low,macro_f1_ci95_high,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95_low,weighted_f1_ci95_high,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,precision_no_damage_mean,precision_no_damage_std,precision_no_damage_ci95_low,precision_no_damage_ci95_high,recall_no_damage_mean,recall_no_damage_std,recall_no_damage_ci95_low,recall_no_damage_ci95_high,f1_no_damage_mean,f1_no_damage_std,f1_no_damage_ci95_low,f1_no_damage_ci95_high,precision_minor_damage_mean,precision_minor_damage_std,precision_minor_damage_ci95_low,precision_minor_damage_ci95_high,recall_minor_damage_mean,recall_minor_damage_std,recall_minor_damage_ci95_low,recall_minor_damage_ci95_high,f1_minor_damage_mean,f1_minor_damage_std,f1_minor_damage_ci95_low,f1_minor_damage_ci95_high,precision_major_damage_mean,precision_major_damage_std,precision_major_damage_ci95_low,precision_major_damage_ci95_high,recall_major_damage_mean,recall_major_damage_std,recall_major_damage_ci95_low,recall_major_damage_ci95_high,f1_major_damage_mean,f1_major_damage_std,f1_major_damage_ci95_low,f1_major_damage_ci95_high,precision_destroyed_mean,precision_destroyed_std,precision_destroyed_ci95_low,precision_destroyed_ci95_high,recall_destroyed_mean,recall_destroyed_std,recall_destroyed_ci95_low,recall_destroyed_ci95_high,f1_destroyed_mean,f1_destroyed_std,f1_destroyed_ci95_low,f1_destroyed_ci95_high,multiclass_brier_mean,multiclass_brier_std,multiclass_brier_ci95_low,multiclass_brier_ci95_high,ece_10bin_mean,ece_10bin_std,ece_10bin_ci95_low,ece_10bin_ci95_high
margin_0,Hurricane Ian,5,228,0.37468897585391225,0.05538286885087811,0.3059330858375713,0.4434448658702532,0.4714189366999097,0.08944918769261265,0.36037090616895234,0.582466967230867,0.4233538941325826,0.04693844364442305,0.3650814619578633,0.48162632630730196,0.77352846957796,0.06332126692717292,0.6949173366613407,0.8521396024945792,0.587037037037037,0.22995794927815388,0.30155230507914416,0.8725217689949298,0.6331060273422503,0.18405995534109476,0.4046020457243985,0.8616100089601021,0.4306910299003322,0.06977576278008525,0.344066866669796,0.5173151931308684,0.3081967213114754,0.1039401146501466,0.17915871299858455,0.43723472962436627,0.35243538906704697,0.08493119491997622,0.24699628816749652,0.4578744899665974,0.1047863247863248,0.0464032192990677,0.04717835487199153,0.16239429470065805,0.48,0.20763215336529914,0.22223196095024594,0.7377680390497541,0.17144584643975733,0.07572404670161502,0.07743709726088625,0.2654545956186284,0.5122848200312988,0.14150255164633355,0.33661436308506815,0.6879552769775295,0.3181818181818182,0.24688137480000488,0.011687246755096914,0.6246763896085394,0.34176864056659456,0.18594138630806356,0.11092892836413631,0.5726083527690529,0.6727032245579097,0.05862322591888837,0.5999245448449628,0.7454819042708565,0.11954844578316337,0.05457500686697609,0.051795488097090586,0.18730140346923616
margin_0,Hurricane Ida,5,103,0.38748478044004403,0.028868259762405212,0.35164584803422255,0.4233237128458655,0.36846511901428536,0.036677517564020816,0.32293126683168494,0.4139989711968858,0.46763305322128856,0.02835280156288183,0.432434044098782,0.5028320623437952,0.41831905075807513,0.10251089497167394,0.29105536856914954,0.5455827329470007,0.8352941176470589,0.09665692191267634,0.7152979377770688,0.9552902975170489,0.5468971694017066,0.062255645887910174,0.469608967645839,0.6241853711575742,0.4133333333333333,0.2501110864307209,0.10282918814718972,0.7238374785194768,0.04666666666666667,0.029814239699997195,0.00965333333333334,0.08368,0.08312897886427298,0.05231765388776802,0.018178445761592443,0.14807951196695351,0.43714565946144895,0.10058437116867573,0.31227368903215547,0.5620176298907424,0.5599999999999999,0.17797041717025644,0.3390559665287821,0.7809440334712178,0.48875811209543285,0.1281242343418104,0.3296963670537846,0.6478198571370811,0.5058730158730158,0.16045452258220205,0.3066743514450089,0.7050716803010227,0.42857142857142855,0.16835875742536846,0.21955993369934712,0.63758292344351,0.4311548613987638,0.04568018497537526,0.37444451324851236,0.48786520954901524,0.6596988071233634,0.01691894679067036,0.6386945278422764,0.6807030864044503,0.10583562804657279,0.03175614550512138,0.0664114867372439,0.14525976935590168
margin_12p5,Hurricane Ian,5,228,0.3741827805430352,0.03413909257815352,0.3318002939860213,0.41656526710004915,0.4761387919517036,0.05787945981504835,0.4042834717810585,0.5479941121223487,0.4089033780427223,0.0226745065972295,0.38075377304534247,0.43705298304010215,0.7427715231993066,0.1062393944646587,0.6108790396069019,0.8746640067917113,0.6,0.1928283813044344,0.3606103249599619,0.839389675040038,0.6349446247007534,0.1279611421881458,0.47608535285004955,0.7938038965514573,0.47226715137465647,0.059207695706963596,0.39876287291067747,0.5457714298386355,0.3540983606557377,0.08873684329655317,0.24393468071848284,0.46426204059299253,0.3932728936822837,0.05743745425038332,0.3219663079239448,0.46457947944062256,0.10425164541438241,0.0176542041736428,0.08233456986964441,0.1261687209591204,0.4133333333333334,0.17888543819998318,0.19125333333333341,0.6354133333333334,0.15926275807009752,0.031769835991984276,0.11982162050130166,0.19870389563889337,0.40068101538931533,0.07259425219131403,0.31055779636785485,0.4908042344107758,0.2681818181818182,0.12996344050450723,0.10683676316971225,0.42952687319392413,0.3092508457190063,0.13067383411887645,0.14702386194027403,0.47147782949773853,0.6809765061915902,0.05894191079677122,0.6078021903754905,0.7541508220076899,0.06782054247563345,0.040176328532745706,0.017943039139797334,0.11769804581146956
margin_12p5,Hurricane Ida,5,103,0.4059893050702871,0.03215774198636133,0.3660665958090265,0.44591201433154765,0.3903771498331397,0.026371255575080837,0.35763816058368103,0.4231161390825984,0.48701680672268904,0.045177880939397695,0.4309300514228807,0.5431035620224973,0.42276529160739684,0.11222725495223886,0.2834390891474162,0.5620914940673775,0.8823529411764707,0.0930081664755406,0.7668865632603614,0.9978193190925799,0.5597385117770701,0.07264689636390824,0.4695499368609803,0.6499270866931599,0.37777777777777777,0.2130032168075646,0.11334175176798494,0.6422138037875706,0.07333333333333333,0.05962847939999439,-0.0006933333333333236,0.14736,0.11808069381598793,0.089703665292645,0.006716738266293154,0.2294446493656827,0.5125418894830659,0.0985048330680605,0.3902515926993843,0.6348321862667474,0.5542857142857143,0.10419761445034553,0.4249280289985341,0.6836433995728944,0.5201409006909763,0.04939120454886082,0.45882345184447737,0.5814583495374752,0.4315931320054259,0.10921440551204967,0.29600727649827663,0.5671789875125751,0.43809523809523804,0.20033984731392981,0.1893803413480879,0.6868101348423882,0.425997113997114,0.14537516787809557,0.24551893976878547,0.6064752882254425,0.6809107576560933,0.020405344774366813,0.655578237507498,0.7062432778046887,0.09178652294631144,0.05516510328594606,0.02330098124421412,0.16027206464840876
masked_building,Hurricane Ian,5,228,0.3399646974702662,0.030546340315622745,0.30204248688927027,0.3778869080512621,0.44352328199592517,0.04433202943402268,0.38848662168542325,0.4985599423064271,0.3726878070320693,0.03815523853992088,0.3253194160651492,0.42005619799898936,0.7710670199253791,0.05511679331033743,0.7026414533643056,0.8394925864864525,0.5314814814814814,0.16441378593084957,0.3273675304135152,0.7355954325494477,0.6108529456297133,0.11163331379871619,0.4722641002889122,0.7494417909705143,0.37039498146679967,0.05758796380527666,0.298901543372759,0.44188841956084035,0.49836065573770494,0.22012432049654604,0.22508402915604764,0.7716372823193622,0.3937076579142865,0.05977490871065281,0.31949920439208684,0.4679161114364862,0.11644398157556053,0.06375396750556794,0.03729566606086673,0.19559229709025433,0.32,0.21291625896895083,0.05567192909820068,0.5843280709017993,0.15510679877725636,0.06795984026749344,0.07073703968187148,0.23947655787264124,0.36381118881118885,0.03648572498302314,0.3185154403938616,0.4091069372285161,0.14090909090909093,0.051826155686324454,0.07656873559212017,0.20524944622606167,0.20019138755980861,0.058356905891343895,0.1277433348241731,0.2726394402954441,0.6795412442991501,0.031086272272747028,0.6409487271228006,0.7181337614754996,0.11356906182410424,0.018132128544695304,0.09105865992820353,0.13607946372000496
masked_building,Hurricane Ida,5,103,0.33006334163318435,0.030027911717250565,0.29278474198153515,0.36734194128483355,0.3353640020490024,0.032316587339499665,0.29524409185076267,0.37548391224724215,0.39151260504201685,0.012224993515789444,0.37633570418689305,0.40668950589714065,0.37017425771072376,0.059173926613163494,0.29671190239279055,0.443636613028657,0.8117647058823529,0.15226093065346805,0.6227380985756138,1.0007913131890922,0.4993926846100759,0.04004914819719736,0.4496730712020214,0.5491122980181304,0.2692016806722689,0.0363085750087402,0.2241258577373321,0.3142775036072057,0.26666666666666666,0.13123346456686352,0.10374492130678198,0.42958841202655135,0.2591947922567719,0.08706654911236524,0.15110472399052277,0.367284860523021,0.5963610877488085,0.12453014065190332,0.4417612840182369,0.75096089147938,0.41142857142857137,0.12551932935136453,0.2556007246074786,0.5672564182496641,0.4629992229992229,0.0681928170578027,0.37834023138657724,0.5476582146118686,0.18,0.10368220676663861,0.05128217528251963,0.3087178247174803,0.07619047619047618,0.06388765649999399,-0.0031238095238095287,0.1555047619047619,0.09866666666666665,0.07014271166700072,0.011586949257846382,0.18574638407548694,0.7252478124777415,0.022522883700606493,0.6972864419907884,0.7532091829646946,0.1495413880325058,0.013900949443440008,0.13228384665036189,0.16679892941464972
